Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 89	Columna:50
Tipo: LIT_INTEGER	Lexema: 4	Linea: 90	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 90	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 91	Columna:8
Tipo: ELSE	Lexema: hada	Linea: 92	Columna:8
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 92	Columna:13
Tipo: LIT_INTEGER	Lexema: 4	Linea: 93	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 93	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 94	Columna:8
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 95	Columna:4
Tipo: CHAR	Lexema: cupido	Linea: 98	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaCondicionalesElse_	Linea: 98	Columna:11
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 98	Columna:37
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 98	Columna:48
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 98	Columna:61
Tipo: IF	Lexema: elfo	Linea: 99	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 99	Columna:13
Tipo: LIT_INTEGER	Lexema: 2	Linea: 99	Columna:24
Tipo: MENOR	Lexema: snowball	Linea: 99	Columna:26
Tipo: LIT_INTEGER	Lexema: 3	Linea: 99	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 99	Columna:37
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 99	Columna:50
Tipo: LIT_INTEGER	Lexema: 4	Linea: 100	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 100	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 101	Columna:8
Tipo: IF	Lexema: elfo	Linea: 102	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 102	Columna:13
Tipo: LIT_INTEGER	Lexema: 2	Linea: 102	Columna:24
Tipo: MENOR	Lexema: snowball	Linea: 102	Columna:26
Tipo: LIT_INTEGER	Lexema: 3	Linea: 102	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 102	Columna:37
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 102	Columna:50
Tipo: LIT_INTEGER	Lexema: 2	Linea: 103	Columna:12
Tipo: SUMA	Lexema: navidad	Linea: 103	Columna:14
